customer_tweet_id,customer_message,author_id,created_at,brand_response,intent,auto_handle,escalate_reason
523825,@241073 @AppleSupport I have that problem too. Please help,249088,Sat Dec 02 07:11:16 +0000 2017,@249088 We're happy to help! Please check out the following article: https://t.co/osZOKKTalm If you need to update the iOS be sure to create a backup before beginning. DM us if you have additional questions. https://t.co/GDrqU22YpT,other,False,N/A
2002212,@applesupport. hi. word on the street is i can inquire about my phone's battery life here. seems to be dying ...,592044,Fri Nov 03 17:32:50 +0000 2017,@592044 We can help. Follow these steps and DM us what iPhone and version of iOS you are using if issues persist: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT,battery_issue,False,Requires specific device and iOS version information to provide personalized troubleshooting.
1134140,@AppleSupport i can't reset my password for my apple id please help,387234,Tue Oct 24 04:50:00 +0000 2017,@387234 We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article: https://t.co/ZTde7mzxXQ,login_appleid_issue,False,N/A
669244,@AppleSupport why when i turn my WiFi off does it suddenly come back on?? Fix this.,279599,Thu Nov 30 19:49:40 +0000 2017,@279599 We'd love to help. Which device are you experiencing this issue on? Which version of software is being used on that device?,other,False,N/A
2743029,@AppleSupport No. She doesn’t have a twitter account and she’s in her mid-80s. Easier via me. What’s the issue do you think?,765475,Mon Nov 20 18:40:55 +0000 2017,@765475 Let's continue over DM. https://t.co/GDrqU22YpT,other,True,N/A
1375800,"@AppleSupport Yep,  it was there. I fix it by restoring from a backup and running update again.",440258,Tue Oct 17 19:55:10 +0000 2017,@440258 Thank you for the update. We're glad to hear it's working properly now.  Contact us again if you need further assistance.,update_issue,False,N/A
966331,Is anyone have a problem updating to #iOS 11.0.3 🤔 @349334 @AppleSupport https://t.co/JgJwCx8mQp,349333,Sat Oct 21 21:58:40 +0000 2017,@349333 This article on over-the-air updates may help: https://t.co/Ui1yTnOCUz,update_issue,False,N/A
2122589,@AppleSupport fix the auto correct bugs and the I️ bug. You know what I’m talking about!,625313,Wed Nov 08 09:49:57 +0000 2017,@625313 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,update_issue,False,N/A
932778,@115858 this iOS 11 update has trashed my brand new iphone. This is ridiculous.,341263,Tue Oct 10 23:29:21 +0000 2017,@341263 We'd like to work with you. What seems to be going on with your iPhone?,update_issue,True,N/A
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,668062,Sun Nov 12 14:53:42 +0000 2017,"@668062 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",update_issue,False,N/A
1598120,"This @AppleSupport update blows. And for what we pay for these phones, they should do that too.",180336,Sun Nov 05 02:29:37 +0000 2017,@180336 It's important to be able to enjoy your phone. Send us a DM and we can look into this for you. https://t.co/GDrqU22YpT,update_issue,True,"The customer is expressing general frustration without providing specific technical details, and the brand has already invited them to DM for further investigation."
1981773,Man what the fuck is this I️ @115858,586607,Thu Nov 02 16:02:34 +0000 2017,@586607 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,other,True,N/A
364721,@AppleSupport Thats wat i do but that works not always good...,202412,Sun Oct 08 17:47:45 +0000 2017,@202412 What kind of data is missing from your Watch backup? Send us a DM to let us know. https://t.co/GDrqU22YpT,other,True,N/A
1921538,"@AppleSupport I’m part of the Apple upgrade program. If I can’t pre order this time, I’ll be able to the next wave correct?",135307,Fri Oct 27 00:56:44 +0000 2017,@135307 We'd like to guide you in the right direction. DM us the country or region you're located in and we'll go from there. https://t.co/GDrqU22YpT,other,False,Requires account-specific verification regarding Apple Upgrade Program eligibility and pre-order status.
961710,@AppleSupport Is this true or false? https://t.co/DqF9O88IX7,610268,Thu Oct 19 01:01:34 +0000 2017,@610268 We'd be happy to help. Check out this link with more information on phishing emails: https://t.co/LNMCdqt6fD,other,False,N/A
2239373,"Rang @115858 support for help getting my iCloud to fucking work and ended up losing every photo/video I have, fucking good 1 apple, cheers👍🏼",652950,Thu Oct 19 16:35:43 +0000 2017,@652950 We'd like to help. Let's meet in DM to work this out. https://t.co/GDrqU22YpT,other,True,"Customer is reporting significant data loss (photos/videos) following a support interaction, which requires sensitive account investigation and potential data recovery assistance."
1107374,@AppleSupport I’ve sent you a DM.,381358,Tue Oct 24 00:37:24 +0000 2017,"@381358 We’ve received your DM, and we’ll respond from there shortly.",unknown,False,"Error: Error calling model 'gemini-3.1-flash-lite' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 30.677917254s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '30s'}]}}"
545262,@AppleSupport hi I have an iPhone x that every 30 seconds or so is now re-locking itself. Even if I don’t unlock it to begin with or if I am actively using it. This fault developed in the middle of the night. Is it a known issue and what can be done to resolve? Thank you,175804,Sat Dec 02 09:00:53 +0000 2017,"@175804 Thank you for that information. Did this just start happening? Also, which iOS version is your device on?",hardware_damage,True,"The issue involves persistent, unexplained system behavior (re-locking) that may indicate a hardware fault or a complex software corruption requiring deeper diagnostic investigation."
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,461360,Mon Oct 16 20:28:21 +0000 2017,@461360 We'll help out. Let's start with the instructions here to try to resolve that No SIM message. https://t.co/UTP2qBi1Is,hardware_damage,False,"The customer is expressing high frustration and urgency ('DO SOMETHING') regarding a persistent 'No SIM' error, which may indicate a hardware failure requiring specialized support."
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.",344743,Thu Nov 09 00:13:23 +0000 2017,@344743 Let's look into this further via DM. Please confirm the version of iOS you're running to get started. https://t.co/GDrqU22YpT,other,False,N/A
2015961,@115858 can you fix the letter I️ pls https://t.co/e9NP7IYTux,596145,Sun Nov 05 17:18:20 +0000 2017,@596145 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,other,False,N/A
1005209,So @115858 can make a phone that can read ur fingerprint And they cant make a charger that actually freakin charges?!!!,357919,Sat Oct 14 07:54:51 +0000 2017,@357919 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,hardware_damage,True,The customer is reporting a faulty accessory (charger) which requires troubleshooting or a potential replacement process that necessitates private communication.
2229409,"@115858  what the fuck is wrong with your new ios, i slept with my phone battery percent at 45% and when i woke up it was 6% 😡😡😠",650602,Fri Nov 10 09:48:05 +0000 2017,@650602 We want to help. Reach out via DM using the link below. Let us know what version of iOS 11 you're using. https://t.co/GDrqU22YpT,battery_issue,False,"The customer is reporting a significant battery drain issue following an iOS update, which requires investigation into device-specific logs and settings that cannot be resolved via standard automated responses."
433077,"Email posing as Apple. 😒

@AppleSupport https://t.co/LFrZOaWQd5",218002,Tue Oct 10 14:45:05 +0000 2017,@218002 Great catch. Thanks for reaching out. Learn how to report phishing emails to Apple here: https://t.co/LNMCdqt6fD,login_appleid_issue,False,Security concern regarding potential phishing/fraudulent activity involving Apple credentials.
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,135055,Thu Nov 30 09:38:17 +0000 2017,@135055 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,battery_issue,False,The customer is reporting a technical malfunction (battery draining while charging) which requires troubleshooting beyond standard automated responses.
1659238,@AppleSupport iPhone 7 plus,506235,Tue Oct 17 15:53:50 +0000 2017,@506235 Do you subscribe to Apple Music?,other,False,"The customer message is incomplete and lacks context, requiring a human agent to clarify the issue."
63200,@AppleSupport how can I add Night Mode to the control center in the new iOS?,130498,Wed Nov 01 21:11:38 +0000 2017,@130498 We're here for you. Which version of the iOS are you running? Check by tapping Settings &gt; General &gt; About.,other,False,N/A
1020299,@AppleSupport why can’t I send MMS pictures since updating to 11.0.3? Very frustrating Online support FAQs don’t offer a real fix #help,361432,Sun Oct 22 21:50:36 +0000 2017,@361432 What happens when you try to send an MMS message? Let us know in a DM. https://t.co/GDrqU22YpT,update_issue,True,N/A
1502977,@AppleSupport @115858 I've had my iPhone 7 for roughly 2 months and the battery life is already SHOCKING,443505,Fri Nov 03 09:08:44 +0000 2017,"@443505 Let's take a look at your battery together. First, adjust settings to maximize your battery: https://t.co/yg6xBLkjbL",battery_issue,False,N/A
2064323,@AppleSupport when is the next update coming out to fix the damage 11.0.2 is causing?,312748,Sat Oct 07 19:38:38 +0000 2017,@312748 We're here to help with any questions or concerns you have. Please DM us and we can go from there together. https://t.co/GDrqU22YpT,update_issue,True,N/A
849912,"@AppleSupport bonjour , depuis la maj iOS 11.0.3 mon iPhone6+ fige et le clavier est lent. Solution ? #obsolescence",321945,Fri Oct 20 13:22:29 +0000 2017,@321945 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,update_issue,False,"The customer is reporting performance degradation (freezing/lag) following a specific iOS update, which requires technical troubleshooting beyond standard automated responses."
991133,@AppleSupport I’m AirPlaying from an iPad Pro 10.5” running iOS 11.0.3 to a 4th gen TV running tvOS 11.,354776,Sun Oct 22 04:48:39 +0000 2017,@354776 We've got a great team of Apple TV specialists who can best assist you. Reach out to them here: https://t.co/IBIY3vMgPj,other,True,N/A
1588838,@AppleSupport I am still seeing the square with the question mark Inside even after updating to the new iOS,488591,Sat Nov 04 19:46:31 +0000 2017,@488591 We're here for you. Check out this article for help: https://t.co/xU1AGHStV6,update_issue,False,N/A
1850132,Ummm what @AppleSupport https://t.co/GeHtcf215B,199132,Wed Oct 18 21:23:19 +0000 2017,"@199132 It looks like your email is connecting. Did this update for you? If not, please DM us. We'll meet you there to help. https://t.co/GDrqU22YpT",other,True,N/A
723995,@AppleSupport WHY won’t Siri speak directions it’s dangerous as I drive and beg her to,293377,Fri Oct 06 14:32:51 +0000 2017,"@293377 We definitely want to look into this. To be sure we’re on the same page, are you using Maps for navigation, or another app?",other,True,N/A
2051553,I’m so sick of @115858’s deliberate “make old phones start fucking up” after new ones come out. I have the 7+ &amp; has NEVER been buggy til now,606705,Thu Oct 05 20:28:02 +0000 2017,"@606705 That's not the experience we want for you, and we're here to help. To get started, DM us what's going on with your iPhone. https://t.co/GDrqU22YpT",other,False,N/A
2271648,@AppleSupport 11.1.2,660894,Mon Nov 20 21:10:28 +0000 2017,@660894 Got it. We'd like to start some troubleshooting steps with you. Would you mind please joining us in DM? https://t.co/GDrqU22YpT,update_issue,False,Requires private troubleshooting steps and potential account/device verification via DM.
1434468,@AppleSupport @115858 massive battery drainage lag while using phone hangs. Problem with ios11 Pl help serious issues with batter drainage,453053,Mon Oct 16 18:27:05 +0000 2017,@453053 Send us a DM and let us know what version of iOS 11 you're running. We'll get started there. https://t.co/GDrqU22YpT,battery_issue,False,Requires complex troubleshooting for performance lag and battery drainage issues potentially linked to specific iOS versions.
600439,@115858 why my music keep stopping fam the x got to many problems fam,262405,Sun Dec 03 20:25:44 +0000 2017,"@262405 Let's look into this together. To start, can you DM us more information on what's going on, as well as which iOS version you're using with your iPhone X? https://t.co/GDrqU22YpT",other,False,"The issue is vague and requires troubleshooting specific to the user's device and software version, necessitating a private conversation with an agent."
620189,@AppleSupport iOS 11.1.1,267196,Wed Nov 22 16:48:07 +0000 2017,@267196 Thanks. Are there specific apps or functions on the iPhone that cause this behavior? Let us know in DM. https://t.co/GDrqU22YpT,update_issue,False,N/A
